,comment,quality,difficulty
 COM7501,"Keefer is creative, insightful, helpful, and a fabulous role model. She will energize you, stimulate you, and open up new worlds! 5 Stars!",5.0,3.0
 ENGENG,"Keefer is a brilliant screenwriter, and really understands how to update dramatic structure into the digital age and global market. She also writes novels, so she is great at adaptations. Unlike many good writers, she is also an excellent teacher.",5.0,3.0
 ENGN,Keefer is absolutely brilliant! She will help you write a screenplay that rocks!,5.0,2.0
 620163,"Thanks to this Professor, I won a screenwriting contest in Europe.  She is a great writer/performer who knows how to help you develop your hidden talents.",5.0,2.0
 6201,"Professor Keefer's classes encourage students to be creative, to challenge the status quo, and to really develop themselves as artists and thinkers.  Excellent professor, but not for corporate clones.",5.0,3.0
 ECONY20,"He was a great professor who had a tough subject to teach. He was always available to tutor and/or advise, and if you took advantage of the help he offered, you did well. I got a B-, and I am not a fan of the subject!",4.5,5.0
 ECONMACR,One of the best econ professors i have ever had. so smart and fun,5.0,4.0
 MAP500,Prof. Merjian is engaging and always available for advice. I appreciated the quality and clarity of his feedback. Highly recommended!,5.0,3.0
 ETHNIGROU,"Professor Diner is one of my best memories of NYU.  She is brilliant and a lovely person.  She managed to make 3 hour long lectures incredibly engrossing by telling history as stories.  Also, taking a class with Diner guarantees that you will read a host of fascinating books.",4.5,4.0
 ETHNCGRPS,fantastic teacher. great books (including her own) and great lectures.,4.0,3.0
 HISTSECT,RIP Prof. Reinhold.  It was truly a privilege to be in your class.,5.0,3.0
 JEWISHWOMEN,Haisa is the greates teacher alive i think she should get some kind of award. Her classes are the only thing about NYU that Ilike.,5.0,1.0
 TTH101,"I took this elective for fun $ am so happy I did! Hutkins was a great professor. We had a 3hour seminar during lunch hours each Friday, so he would buy food from the farmer's market every class. So awesome! The content is super interesting and the grades were based off blog posts and participation. This class is great to take if you're interested",4.0,3.0
 GFYS0001,so great!,4.0,2.0
 IDSEM1558,"I took his class The Travel Habit, and he made a seemingly narrow topic quite expansive and interesting. he is passionate and interesting, and the work is manageable (no final or final paper!).",5.0,2.0
 GALFIRS,Amazing,5.0,1.0
 TRVLFIC,"Super great Prof.  Easy and fun.  He brought in food a lot towards the end of the semester.  My class got lucky and didn't have to write a midterm paper, because we never got around to it. Every week we read a book and wrote a 500 word blog about it.  If you want to check it out, he has a class website, just google Place Studies. Highly Recommended",4.5,1.0
 SENSE101,"Loved this guy. First Professor I had at Gallatin, and he kept me there. Ended up taking 3 classes with him. One wonderful spring day he said, ""It's a beautilful day. Let's take a walk and see the Village."" During the walk we all got quality time with him, taking in the ambiance, etc. In my opinion, an excellent teacher.",5.0,3.0
 WS1,"Scott taught a truly incredible class. Really smart and great at facilitating class discussion. Cares about the class and grades very fairly. If effort is applied, it seems difficult to perform poorly in his class.  Highly recommended.",5.0,3.0
 COREUA311,"He's maybe one of the most caring professor I have encountered. He really tries to know everybody's needs and he wants to help everyone if he can. The content of the course is quite interesting, and his exams are on every detail in his lectures. He tends to murmur a lot, so be aware of that. No homework at all, but the labs are long and tedious.",5.0,3.0
 BIOSPHERE1,"I loved Professor Volk. He's a sweet hippie who really loves what he teaches. Exams were difficult because it was a lot of memorization, but I still enjoyed the class and his enthusiasm.",5.0,4.0
 CORE311,"Just make sure you read the material and ask questions where you're confused. There is an emphasis on knowing facts, so if you don't understand the material this could be the hardest part of the class.",5.0,3.0
 COREIAD11J,"I has Volk for State and Fate of the Earth for Jterm in Sydney, and I LOVED his class so much! It was extremely interesting, and he's such a cool guy. The only text book we used was his and it's very interestingly written (kind of reads like a story book). He allows so much freedom for your final project, too. TAKE THIS CLASS!",5.0,2.0
 LESSONSBIOSPH,"Professor Volk is an excellent professor. He's very passionate about what he teaches so that makes his lectures interesting (especially during organism moments). That said, his lectures are sometimes slow but if you go to lecture and go over your notes before the exam, it's easy to get an A.",5.0,1.0
 ENVSCI,"Tyler's a very approachable professor, but yes, there are a LOT of details, especially concerning CO2 (what else would you expect from someone so passionate about the environment?).  His exams are indeed quite baffling...hard to tell whether you did well or not.  His assignments are interesting (not like homework).  Overall, he's a fair grader.",5.0,3.0
 NATSCI2,"Life Science: Human Genetics with Dr. Small was a pleasure. His lectures are interesting. He cares deeply about his students & is always willing to help them understand things. He does expect his students to memorize granular details in depth & his texts are not easy, but the curve is generous & if you put in a decent amount of work you'll do well!",5.0,4.0
 BIOSPHERE,"Professor Volk is an amazing teacher who keeps his class extremely interested in the cirruculum. He cares deeply about what he's teaching, and it shows. The tests are extremely easy (questions such as ""what is the name of our textbook?"") and he always posts a test from the previous year to study from online a week before the test. Amazing teacher!!",4.5,2.0
 IRISH100,"Padraig is the cool Irish dude you never knew you needed in your life. As others have said, he wants you to do well. I forgot what a question word meant on my oral exam, and he skipped the question. Just put in a little effort, and have a little fun. Also, enjoy all the singing. (He does take attendance).",5.0,2.0
 GAELIC,No Comments,4.0,2.0
 IRISHLANGUAGE,No Comments,4.5,4.0
 SOCAD0001,"Wow, I took three classes with her and thought she was a FANTASTIC professor - sad to see these ratings. She has a speech cadence that does take some time to get used to, but I loved my class discussions with her and she was always available for extra time outside of classes. Sweetest lady EVER - but don't let that fool you. SO SMART.",4.5,3.0
 SOCIOADOL,"Grade is based on final paper (20-25pgs) and class discussion. Readings for the class are somewhat interesting, but it is possible to not read all of all of them. Very sweet lady, one of my favorite professors at NYU. Helpful when it comes to final paper (topic of choice). Wants students to enjoy the class and learn about teenagers.",4.5,2.0
 BASICALGO1,"Amazing professor. He cares about his students, and cares about what he teaches. He is very intelligent, really knows what he is talking about.",5.0,3.0
 MATHUA349,"Just graduated and really want to write this review. Professor Spencer's lecture is THE best I have ever had at Courant. He will massage the material really well to make it transparent and inspiring. He also replies emails quite fast. Anyways, my feeling is that you can learn a lot under a reasonable workload while feeling comfortable.",5.0,3.0
 CSCIGA1170,Professor Davis is one of the nicest professors I've ever met. He is also very responsive if you have any questions.,5.0,3.0
 MATH0348,"This guy is honestly one of the greatest professors I've had at Courant so far. His lectures are fun and invigorating, the homework is fair, as are the midterm and exam. Truly a class any aspiring mathematician should take.",5.0,3.0
 MATHUA344,Our professor is clearly dedicating his time to serious and inspirational teaching of college math. He writes all the lecture notes on his own. His notes always provide you with additional insights into concepts just covered. He is always ready to help his students on difficult concepts in office hours. Looking forward to his senior honors class.,5.0,3.0
 MATH0344,"Had Algebra II with him. Excellent lectures, very helpful in answering questions from students, and also grading in his class is definitely fair. Highly recommended!",5.0,2.0
 MATH248,Number Theory with Spencer is awesome. He is great at explaining it. He gives you useful homeworks that really make you learn the material well. He is very helpful if you email him or go to his office hours. He is the best teacher I have had so far. Definitely take him if you have the chance.,5.0,3.0
 QRELEMSTAT,"Had a slight background knowledge of statistics going into the class, but for me he was a pretty good teacher...makes the class interesting by using poker hands for probability examples and explains material well",4.5,2.0
 BIOLUA42,"I have Borowsky for Biostats. Although the class is immensely boring, Borowsky is an approachable, friendly, and sincere professor. Also, he is very fair and lets us know what to stress for the exams. I am glad I chose to take Biostats with Borowsky over the other professors. I also feel reading the textbook is critical for success in this class.",4.0,3.0
 PRINC001,"Clear lectures.  Professor makes it clear what you are responsible for.  Exam questions are drawn from the lectures, so it is best to attend.",4.5,4.0
 BIO2,Great guy w/ a cool German accent. His lectures are enthralling to say the least and the material he covers is interesting cuz he makes it so. One of the best Biology lectures at NYU. Much love prof Eichenberger!,5.0,2.0
 X9545,Clear handouts.  Born to teach.  I learned more from him than from all my other teachers combined.,5.0,1.0
 WRITI1,"Very helpful but a lot of work, its very manageable though, many drafts on essays. She makes sure you get it right, she is available upon request. One of the best writing teachers I've ever had! Actually made writing enjoyable.",4.5,4.0
 WRI01,"Clear and interesting in class, generous with feedback and assistance out of class. Thinks young but knows a lot, not just about English. Not hard if you pay attention and aren't lazy. They should all be this dedicated and helpful.",5.0,1.0
 CWGV101,"The best professor and class I have ever had. I honestly just loved everything about Professor Horng and the class. She is a super fun, sweet, and caring person and she really cares about her students and their success. Always available outside of class if needed. Very open-minded and understanding. If you love writing, she's your professor.",5.0,2.0
 CWGVUF101,"Susanna is an excellent teacher who truly cares about her students' academic success and wellbeing. She gives excellent feedback to papers, she always tries to make herself available, and she is a great listener. She even encouraged us to go out and we really bonded. She doesn't have finals or midterms, participation is really key. TAKE HER!",5.0,2.0
 WRITING1,"Professor Langer really knows how to train her students into reading, writing and thinking with clarity, precision and grace. You get as much out of the class as you put in. If you want to improve your writing in a manner that is beneficial for the rest of your academic and professional career, definitely take her. (Also makes great jokes)",5.0,3.0
 WRI2,"Great teacher, would def try to take him if you can.",5.0,3.0
 WRI101,Her teaching style is great. If you ask for help she won't hesitate. Edits on essays are based off of the rough draft itself (in terms of quality and length).,4.0,4.0
 WRITING,I see most people complaining about him not being an easy grader and making you work for it but what people do not know is that when Mitchell was giving good grades for good work he was accused by a student for being an easy grader and that's fact. I guess you can't win for losing on this one. I learned a lot from him and I am satisfied with my B+.,5.0,4.0
 WRI037,"Susanna really managed to show me how to improve. I took her both semesters LS Writing I/II. Take BOTH if possible because your writing will improve most if you have her for a whole year. Pay attention, do your work, go to class, don't expect to get an A for nothing. Her prompts are very interesting and her texts are too. Best professor all year.",4.0,4.0
 GB1302,One of the best professors I have ever had. Very engaging and very insightful.,4.5,3.0
 MAN001,No Comments,4.5,3.0
 C500001,Super nice guy! His mom says he's good at teaching MOA and she wouldn't lie.,5.0,3.0
 JURGRAD,"Prof. Serrin is not only a great educator, he's a great person.",5.0,5.0
 ADVREPO,"Not sure what other rater's criticism is all about..took Serrin for Poverty Politics and Immigration capstone..intimidating only at first. Serrin is a character - hilarious, kind, no bs man who has seen the world an written about it (for the Times mind you). Take him. One of the few I plan on visiting..unless he's in Montana :)",4.5,2.0
 FINDNYC,"The absolute best. Funny, kind, engaging. Take the class if you can. We had class at his apartment twice, and went to Spamalot. He took us out to dinner in small groups. Plus he knows his stuff and the class was very interesting. Nobody understands his grading, but that's okay. Most definitely take this class if you can.",5.0,1.0
 JOURNG54,Prof. Serrin is the best. I turn to him for advice constantly. His past students have come back to talk to the class and are all doing amazing things in journalism.,4.5,4.0
 MEDIA0298,"By far the best teacher and best class I have ever taken. Serrin is a dream teacher. Fun projects, interesting subject material, plus he totally runs the class based on the needs of the students. On top of everything, he is HILARIOUS and laid back. Do not miss the chance to have Serrin as a teacher!",5.0,3.0
 MUCKRAKING,One of the best professors I have ever had at NYU.  Serrin is so nice and laid-back.  He even moved class to Ben and Jerry's for free cone day.,5.0,2.0
 SOCIALJUSTICE,Nobody should go through the NYU journalism program without taking professor Serrin. He's the best of what they have to offer. Period.,5.0,3.0
 REPORTING,"Probably the best professor I had at NYU. I took two of his classes and visited him in his office frequently for advice. So kind and so helpful, and very accessible unlike a lot of professors here.",5.0,3.0
 SPORTS,The best instructor that I have ever had at any level.,5.0,4.0
 SF1,"He is a fairly easy grader on essays and tests, however in order to get the grades, you need to pay attention to his lectures. He kind of entertains dumb comments during class, especially from his favorites, which can get annoying. He doesn't really foster individual thought because he has a specific answer for every question he poses",4.0,2.0
 SFII1,"One of the best professors I've ever had. Lectures are clear, logically structured, and insightful. Wastes some time during lessons, but even in the time remaining manages to give all the necessary information. Fair grader.",5.0,4.0
 SF2,"Best professor. Despite on the surface being a ""tough"" teacher(he grades his essays harshly and gives pop quizzes if there is a need for it), his toughness in reality is just good teaching. He knows what he is doing and cares about the student in the long run. He will force you to improve and he will stimulate your brain cells.",5.0,4.0
 SFIII103,"Professor Bloch is genuinely one of the best professors I've ever had. He's a great resource and if you ever feel lost with the readings (which can be dense, but that's the nature of the course) he's more than happy to help. If you're considering taking his class, this is your sign to do so!",5.0,3.0
 SF3,"A great guy who genuinely respects all of his students and tries to be as transparent as possible. Assigns some easy and interesting readings. Hates bureaucracy, so he refuses to take attendance, and he gives everyone a 100% on the ""midterm"" and ""final"" exams. Still fresh out of grad school so his class can be rough if people don't participate.",5.0,2.0
 SFIIUF103,"The best professor at NYU, I learned so much from his class. Can be a tough grader, but so incredibly worth it",4.5,3.0
 SFI,"He is a great teacher who is clearly passionate about his subject. Readings are important and they're all very interesting, he makes sure to go over main concepts in class, encouraging people to give their own ideas and feedback. He prepares the class well for all exams, and will give great feedback on essays to help w improvement! RECOMMEND!",4.5,4.0
 SFII,"Hogan's super enthusiastic about philosophy and does a great job of engaging students in lively discussion. You're rarely held accountable for the reading, which is great, until it comes time to write the essays (there are 3). I recommend making sure you know at least one text well from each section to make your life that much easier. Loved it!",4.5,2.0
 SF123,"TOOK him for sf1,2 and 3 , he is the best professor at nyu. Extremely helpful, lets you pursue your own interests , keeps the class very interesting .... Take him definitely you will never get a better professor",4.5,2.0
 SFUA100,Best professor I have ever had,4.5,2.0
 POLITICS,"Very good professor, he knows what he's talking about. Prof Manin is very clear in his lectures, which makes for good notetaking. Our TA's graded our papers, so no clue as to how he grades. Assigns a good amount of reading, but thoroughly explains it in class. Good prof.",4.5,3.0
 GLOBALHIS,"Wonderful pfofessor, so open and interested and encouraging. I thought his class was amazing.",5.0,4.0
 SOC01,"I love him so much!! He's adorable and such a great lecturer. He's not going to hand you what the readings are about, on a platter, but as long as you read carefully and care about his class, you will be totally fine. It was my favorite class this semester.",4.5,2.0
 SOC101,"Prof Kameo is the best professor I've ever had! She is the most kind, understanding, inclusive, intelligent instructor. You will love her class! I never write reviews, but I can't recommend her enough! TAKE HER CLASS",5.0,2.0
 SOCUA1,"Professor Nahoko is amazing, she cares for the students and is super friendly. She has a strong Japanese accent, so this might be difficult for international students. Overall her class was interesting and she was super comprehensive during the pandemic. Attend class, do your papers, and do the weekly HW and reading.",5.0,3.0
