,id,name,quality,numOfRatings,department,wouldTakeAgainPercent,difficulty
0,2171,Julia Keefer,4.5,6,Film,N/A,2.8
1,18708,Alan Corns,2.8,6,Economics,N/A,4.5
2,18711,Hasia Diner,3.8,9,Social Science,0,3.2
3,37951,Steve Hutkins,4.5,7,Interdisciplinary Studies,100,2
4,41264,Tyler Volk,3.5,43,Science,50,3
5,66753,Pádraig Cearúil,4.5,3,Ethnic Studies,100,2.7
6,70976,Barbara Heyns,2.9,7,Social Science,N/A,2.6
7,84859,Joel Spencer,3.7,18,Computer Science,84,3.2
8,85026,Richard Borowsky,2.6,12,Biology,100,3.5
9,85153,Meretzky Mark,3.5,3,Computer Science,N/A,2.7
10,88367,Susanna Horng,3.3,56,Writing,60,3.5
11,98707,Steve Blader,4.7,3,Business,N/A,3
12,105411,William Serrin,3.8,15,Journalism,N/A,3.5
13,107876,Ward Regan,3.8,90,Philosophy,89,2.7
14,109027,Riaz Khan,2.5,8,History,N/A,3.1
15,110014,Harvey Molotch,3.7,40,Social Science,84,2.7
16,111255,Robert Chazan,4.4,27,Hebrew,60,2.5
17,111269,Stephen Cohen,3.6,35,History,100,3.1
18,111274,Connie Hayman,0.0,0,Journalism,N/A,0
19,129601,Manos Pantelidis,4.2,15,Communication,100,1.9
20,134376,Henry Em,3.4,14,Asian Studies,N/A,3.1
21,136143,Bruce Bueno De Mesquita,3.6,30,Political Science,84,3.4
22,139906,Joan Welkowitz,5.0,2,Psychology,N/A,2
23,143149,Anna Musatti,2.3,18,Economics,100,2.6
24,143155,Stephen Brown,4.8,4,Business,N/A,2.5
25,146536,Rebecca Packer,4.3,23,English,N/A,2.2
26,153827,Gordon Farrell,4.7,11,Theater,N/A,2.6
27,155314,Elizabeth Phelps,4.2,38,Psychology,100,2.8
28,157346,Arnie Baskin,3.9,37,Film,0,1.9
29,159296,Nikhil Singh,4.0,30,History,60,2.9
30,159368,Peter Chelkowski,3.0,14,Theology,N/A,1.9
31,160809,Rolf Wolfswinkel,3.0,44,Humanities,100,3.6
32,164719,David Greenberg,2.2,10,Sociology,0,3.2
33,165885,Paul Fleming,4.7,11,Languages,N/A,2.6
